name	within	uri	long	lat	types
Hungary		http://aims.fao.org/aos/geopolitical.owl#Hungary			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Iceland		http://aims.fao.org/aos/geopolitical.owl#Iceland			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
India		http://aims.fao.org/aos/geopolitical.owl#India			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Indonesia		http://aims.fao.org/aos/geopolitical.owl#Indonesia			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Iran (Islamic Republic of)		http://aims.fao.org/aos/geopolitical.owl#Iran_Islamic_Rep_of_			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Iraq		http://aims.fao.org/aos/geopolitical.owl#Iraq			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Ireland		http://aims.fao.org/aos/geopolitical.owl#Ireland			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Israel		http://aims.fao.org/aos/geopolitical.owl#Israel			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Italy		http://aims.fao.org/aos/geopolitical.owl#Italy			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Jamaica		http://aims.fao.org/aos/geopolitical.owl#Jamaica			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Japan		http://aims.fao.org/aos/geopolitical.owl#Japan			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Jordan		http://aims.fao.org/aos/geopolitical.owl#Jordan			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Kazakhstan		http://aims.fao.org/aos/geopolitical.owl#Kazakhstan			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Kenya		http://aims.fao.org/aos/geopolitical.owl#Kenya			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Kiribati		http://aims.fao.org/aos/geopolitical.owl#Kiribati			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Kuwait		http://aims.fao.org/aos/geopolitical.owl#Kuwait			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Kyrgyzstan		http://aims.fao.org/aos/geopolitical.owl#Kyrgyzstan			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Lao People's Democratic Republic		http://aims.fao.org/aos/geopolitical.owl#Lao_People_s_Democratic_Republic__the			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Latvia		http://aims.fao.org/aos/geopolitical.owl#Latvia			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Lebanon		http://aims.fao.org/aos/geopolitical.owl#Lebanon			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Lesotho		http://aims.fao.org/aos/geopolitical.owl#Lesotho			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Liberia		http://aims.fao.org/aos/geopolitical.owl#Liberia			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Libyan Arab Jamahiriya		http://aims.fao.org/aos/geopolitical.owl#Libyan_Arab_Jamahiriya__the			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Liechtenstein		http://aims.fao.org/aos/geopolitical.owl#Liechtenstein			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Lithuania		http://aims.fao.org/aos/geopolitical.owl#Lithuania			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Luxembourg		http://aims.fao.org/aos/geopolitical.owl#Luxembourg			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Madagascar		http://aims.fao.org/aos/geopolitical.owl#Madagascar			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Malawi		http://aims.fao.org/aos/geopolitical.owl#Malawi			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Malaysia		http://aims.fao.org/aos/geopolitical.owl#Malaysia			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Maldives		http://aims.fao.org/aos/geopolitical.owl#Maldives			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Mali		http://aims.fao.org/aos/geopolitical.owl#Mali			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Malta		http://aims.fao.org/aos/geopolitical.owl#Malta			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Marshall Islands		http://aims.fao.org/aos/geopolitical.owl#Marshall_Islands__the			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Martinique		http://aims.fao.org/aos/geopolitical.owl#Martinique			loc;territory;area;region;nonself;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Mauritania		http://aims.fao.org/aos/geopolitical.owl#Mauritania			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Mauritius		http://aims.fao.org/aos/geopolitical.owl#Mauritius			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Melanesia		http://aims.fao.org/aos/geopolitical.owl#Melanesia			loc;group;area;region;thing;bfo141;bfo1;bfo2;geo;bfo4;georegion;bfo6
Mexico		http://aims.fao.org/aos/geopolitical.owl#Mexico			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Micronesia		http://aims.fao.org/aos/geopolitical.owl#Micronesia			loc;group;area;region;thing;bfo141;bfo1;bfo2;geo;bfo4;georegion;bfo6
Micronesia (Federated States of)		http://aims.fao.org/aos/geopolitical.owl#Micronesia__Fed_States_of_			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Monaco		http://aims.fao.org/aos/geopolitical.owl#Monaco			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
Mongolia		http://aims.fao.org/aos/geopolitical.owl#Mongolia			loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6
