uri	name	types	within	lat	long
http://aims.fao.org/aos/geopolitical.owl#Iran_Islamic_Rep_of_	Iran (Islamic Republic of)	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Iraq	Iraq	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Ireland	Ireland	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Israel	Israel	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Italy	Italy	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Jamaica	Jamaica	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Japan	Japan	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Jordan	Jordan	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Kazakhstan	Kazakhstan	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Kenya	Kenya	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Kiribati	Kiribati	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Kuwait	Kuwait	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Kyrgyzstan	Kyrgyzstan	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Lao_People_s_Democratic_Republic__the	Lao People's Democratic Republic	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Latvia	Latvia	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Lebanon	Lebanon	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Lesotho	Lesotho	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Liberia	Liberia	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
http://aims.fao.org/aos/geopolitical.owl#Libyan_Arab_Jamahiriya__the	Libyan Arab Jamahiriya	loc;territory;area;country;region;self;thing;geopol;bfo141;bfo1;bfo2;geo;bfo4;bfo6			
