uri	deptid	photo	type	name	title
http://vivo.ufl.edu/individual/n81130	16329000;16329050;16327000;16320000;16320100		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Olson, Timothy Edward	Assistant Professor
http://vivo.ufl.edu/individual/n8114	60153100;60152300;60150000;60153200;60152200;60151000;60152500;60152100;60153000;60152000		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivo.ufl.edu/ontology/vivo-ufl/CourtesyFaculty;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Wright, Anita Christine	Associate Professor
http://vivo.ufl.edu/individual/n812	34170402		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://www.w3.org/2002/07/owl#Thing;http://xmlns.com/foaf/0.1/Person;http://xmlns.com/foaf/0.1/Agent;http://vivoweb.org/ontology/core#FacultyMember	Battle,Lucius Winston,Jr	
http://vivo.ufl.edu/individual/n8121	60192000;60192100;60190000;60191000	Rollins.JPG	http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Rollins, Jeffrey A	Associate Professor
http://vivo.ufl.edu/individual/n8124	52042000;52020000;52020100;52031000;52081000;52020200;52071000;52010300;52040000;52034000;52010200;52080000;52032000;52000000;52090000;52010100;52010000;52060000;52010500;52033000;52072000;52010400;52070000;52030000;52091000		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://www.w3.org/2002/07/owl#Thing;http://xmlns.com/foaf/0.1/Person;http://xmlns.com/foaf/0.1/Agent;http://vivoweb.org/ontology/core#FacultyMember	Craciun, Valentin	
http://vivo.ufl.edu/individual/n8125			http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://www.w3.org/2002/07/owl#Thing;http://xmlns.com/foaf/0.1/Person;http://xmlns.com/foaf/0.1/Agent;http://vivoweb.org/ontology/core#FacultyMember	Fajardo,Diego Sebastian	
http://vivo.ufl.edu/individual/n8125381402	18180901;18180900;18180903;18180902;18180905;18180904;18180907;18180906;18180909;18180908;18180200;18180100;18180000;18181000;18180914;18180915;18180912;18180913;18180910;18180700;18181100;18180600;18181200;18180911;18180500;18180400;18180300		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity;http://vivoweb.org/ontology/core#FacultyMember	Parker, Pamela L	
http://vivo.ufl.edu/individual/n8127	60760000	mritenour.jpg	http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Ritenour, Mark A	Associate Professor
http://vivo.ufl.edu/individual/n8132	02010300;02010301;02010302;02010303;02000000;02130000;02070200;02070300;02070000;02010400;02010904;02010500;02010601;02010600;02010000;02010800;02010902;02010903;02010900;02010901;02040000;02070400;02050000;02010100;02010201;02010200;02010203;02010202;02010205;02010204		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://vivoweb.org/ontology/core#EmeritusFaculty;http://vivo.ufl.edu/ontology/vivo-ufl/MiscFaculty;http://vivoweb.org/ontology/core#EmeritusProfessor;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Spitznagel, Ronald J	Associate Professor Emeritus
http://vivo.ufl.edu/individual/n8134058849	18180901;18180900;18180903;18180902;18180905;18180904;18180907;18180906;18180909;18180908;18180200;18180100;18180000;18181000;18180914;18180915;18180912;18180913;18180910;18180700;18181100;18180600;18181200;18180911;18180500;18180400;18180300		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://www.w3.org/2002/07/owl#Thing;http://xmlns.com/foaf/0.1/Person;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity;http://vivoweb.org/ontology/core#FacultyMember	Billiodeaux, Dylan M	
http://vivo.ufl.edu/individual/n8134115448	19020000;19020100;19020200;19029000;19020500		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://www.w3.org/2002/07/owl#Thing;http://xmlns.com/foaf/0.1/Person;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity;http://vivoweb.org/ontology/core#FacultyMember	Scheffe, Jonathan	
http://vivo.ufl.edu/individual/n8135	16329000;16329050;16327000;16320000;16320100		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Huang, Shu Jen	Lecturer
http://vivo.ufl.edu/individual/n813543236	29210000;29210100		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	O'Malley, Matthew R	
http://vivo.ufl.edu/individual/n813549136			http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://www.w3.org/2002/07/owl#Thing;http://xmlns.com/foaf/0.1/Person;http://xmlns.com/foaf/0.1/Agent;http://vivoweb.org/ontology/core#FacultyMember	Kielczewski,Jennifer L	
http://vivo.ufl.edu/individual/n8137	34130100;34130000;34130103;34130104;34130101		http://vivo.ufl.edu/ontology/vivo-ufl/UFEntity;http://xmlns.com/foaf/0.1/Person;http://vivoweb.org/ontology/core#FacultyMember;http://xmlns.com/foaf/0.1/Agent;http://www.w3.org/2002/07/owl#Thing;http://vivo.ufl.edu/ontology/vivo-ufl/UFCurrentEntity	Oreste, Luz D	Clinical Associate Professor
