uri	label	narrower	broader
http://vivoweb.org/ontology/degree/academicDegree30	B.N. Bachelor of Nursing		
http://vivoweb.org/ontology/degree/academicDegree31	B.Pharm. Bachelor of Pharmacy		
http://vivoweb.org/ontology/degree/academicDegree32	B.R.E. Bachelor of Religious Education		
http://vivoweb.org/ontology/degree/academicDegree33	B.S. Bachelor of Science		
http://vivoweb.org/ontology/degree/academicDegree34	B.S.Ed. Bachelor of Science in Education		
http://vivoweb.org/ontology/degree/academicDegree35	C.E. Civil Engineer		
http://vivoweb.org/ontology/degree/academicDegree36	Ch.E. Chemical Engineer		
http://vivoweb.org/ontology/degree/academicDegree37	D.A. Doctor of Arts		
http://vivoweb.org/ontology/degree/academicDegree38	D.A.S. Doctor of Applied Science		
http://vivoweb.org/ontology/degree/academicDegree39	D.B.A. Doctor of Business Administration		
http://vivoweb.org/ontology/degree/academicDegree4	B.A. Bachelor of Arts		
http://vivoweb.org/ontology/degree/academicDegree40	D.C. Doctor of Chiropractic		
http://vivoweb.org/ontology/degree/academicDegree41	D.D. Doctor of Divinity		
http://vivoweb.org/ontology/degree/academicDegree42	D.D.S. Doctor of Dental Surgery		
http://vivoweb.org/ontology/degree/academicDegree43	D.D.S. Doctor of Dental Science		
http://vivoweb.org/ontology/degree/academicDegree44	D.Ed. Doctor of Education		
http://vivoweb.org/ontology/degree/academicDegree45	D.L.S. Doctor of Library Science		
http://vivoweb.org/ontology/degree/academicDegree46	D.M.D. Doctor of Dental Medicine		
http://vivoweb.org/ontology/degree/academicDegree47	D.O. Doctor of Osteopathic Medicine		
http://vivoweb.org/ontology/degree/academicDegree48	D.M.S. Doctor of Medical Science		
http://vivoweb.org/ontology/degree/academicDegree49	D.P.A. Doctor of Public Administration		
http://vivoweb.org/ontology/degree/academicDegree5	B.A.E. Bachelor of Arts in Education		
http://vivoweb.org/ontology/degree/academicDegree50	D.P.H. Doctor of Public Health		
http://vivoweb.org/ontology/degree/academicDegree51	D.R.E. Doctor of Religious Education		
http://vivoweb.org/ontology/degree/academicDegree52	D.S.W. Doctor of Social Welfare		
http://vivoweb.org/ontology/degree/academicDegree53	D.S.W. Doctor of Social Work		
http://vivoweb.org/ontology/degree/academicDegree54	D.Sc. Doctor of Science		
http://vivoweb.org/ontology/degree/academicDegree55	D.V.M. Doctor of Veterinary Medicine		
http://vivoweb.org/ontology/degree/academicDegree56	Ed.D. Doctor of Education		
http://vivoweb.org/ontology/degree/academicDegree57	Ed.S. Education Specialist		
http://vivoweb.org/ontology/degree/academicDegree58	E.E. Electrical Engineer		
http://vivoweb.org/ontology/degree/academicDegree59	E.M. Engineer of Mines		
http://vivoweb.org/ontology/degree/academicDegree6	B.A.E. Bachelor of Art Education		
http://vivoweb.org/ontology/degree/academicDegree60	E.Met. Engineer of Metallurgy		
http://vivoweb.org/ontology/degree/academicDegree61	I.E. Industrial Engineer		
http://vivoweb.org/ontology/degree/academicDegree62	I.E. Industrial Engineering		
http://vivoweb.org/ontology/degree/academicDegree63	J.D. Doctor of Laws		
http://vivoweb.org/ontology/degree/academicDegree64	J.S.D. Doctor of Juristic Science		
http://vivoweb.org/ontology/degree/academicDegree65	L.H.D. Doctor of Humane Letters		
http://vivoweb.org/ontology/degree/academicDegree66	Litt.B. Bachelor of Letters		
http://vivoweb.org/ontology/degree/academicDegree67	Litt.M. Master of Letters		
http://vivoweb.org/ontology/degree/academicDegree68	LL.B. Bachelor of Laws		
http://vivoweb.org/ontology/degree/academicDegree69	LL.D. Doctor of Laws		
http://vivoweb.org/ontology/degree/academicDegree7	B.A.E. Aeronautical Engineering		
http://vivoweb.org/ontology/degree/academicDegree70	LL.M. Master of Laws		
http://vivoweb.org/ontology/degree/academicDegree71	M.A. Master of Arts		
http://vivoweb.org/ontology/degree/academicDegree72	M.Aero.E. Master of Aeronautical Engineering		
http://vivoweb.org/ontology/degree/academicDegree73	M.B.A. Master of Business Administration		
http://vivoweb.org/ontology/degree/academicDegree74	M.C.E. Master of Christian Education 		
http://vivoweb.org/ontology/degree/academicDegree75	M.C.E. Master of Civil Engineering		
http://vivoweb.org/ontology/degree/academicDegree76	M.C.S. Master of Computer Science		
http://vivoweb.org/ontology/degree/academicDegree77	M.D. Doctor of Medicine		
http://vivoweb.org/ontology/degree/academicDegree78	M.Div. Master of Divinity		
http://vivoweb.org/ontology/degree/academicDegree79	M.E. Master of Engineering		
http://vivoweb.org/ontology/degree/academicDegree8	B.A.E. Agricultural Engineering		
http://vivoweb.org/ontology/degree/academicDegree80	M.Ed. Master of Education		
http://vivoweb.org/ontology/degree/academicDegree81	M.Eng. Master of Engineering		
http://vivoweb.org/ontology/degree/academicDegree82	M.F.A. Master of Fine Arts		
http://vivoweb.org/ontology/degree/academicDegree83	M.H.A. Master of Hospital Administration		
http://vivoweb.org/ontology/degree/academicDegree84	M.L.S. Master of Library Science		
http://vivoweb.org/ontology/degree/academicDegree85	M.M. Master of Music		
http://vivoweb.org/ontology/degree/academicDegree86	M.M.E. Master of Mechanical Engineering		
http://vivoweb.org/ontology/degree/academicDegree87	M.M.E. Master of Music Education		
http://vivoweb.org/ontology/degree/academicDegree88	M.Mus. Master of Music		
http://vivoweb.org/ontology/degree/academicDegree89	M.N. Master of Nursing		
http://vivoweb.org/ontology/degree/academicDegree9	B.A.E. Architectural Engineering		
http://vivoweb.org/ontology/degree/academicDegree90	M.R.E. Master of Religious Education		
http://vivoweb.org/ontology/degree/academicDegree91	M.S. Master of Science		
http://vivoweb.org/ontology/degree/academicDegree92	M.S.W. Master of Social Work		
http://vivoweb.org/ontology/degree/academicDegree93	M.Th. Master of Theology		
http://vivoweb.org/ontology/degree/academicDegree94	Nuc.E. Nuclear Engineer		
http://vivoweb.org/ontology/degree/academicDegree95	O.D. Doctor of Optometry		
http://vivoweb.org/ontology/degree/academicDegree96	Pharm.D. Doctor of Pharmacy		
http://vivoweb.org/ontology/degree/academicDegree97	Ph.B. Bachelor of Philosophy		
http://vivoweb.org/ontology/degree/academicDegree98	Ph.D. Doctor of Philosophy		
http://vivoweb.org/ontology/degree/academicDegree99	S.B. Bachelor of Science		
